name,weight,italics,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Frijole,,,23.18,70.17,70.69,77.43,86.15,53.85,9.85,40.67,83.92,92.11,5.57,12.42,79.71,70.3,82.89,0,58.55,52.45,53.44,1.57,33.01,9.56,33.83,64.24,62.13,62.75,11.44,15.83,51.71,15.33,83.62,61.54,5.97,92.49,100
Gentium Basic,,,38.97,29.35,28.42,45.43,14.05,54.17,89.14,56.77,5.48,17.7,4.3,46.06,10.06,44.33,20.46,96.29,91.25,83.87,97.55,51.23,49,9.34,86.6,36.9,15.11,23.42,81.25,80.28,23.9,86.97,38.56,28.23,70.04,57.77,44.61
Gentium Basic,700,,37.11,31.54,50.19,70.62,12.13,32.05,74.7,76.93,17.49,25.54,4.24,44.32,17.87,11.02,34.84,85.23,94.67,83.8,96.5,71.89,55.27,9.34,93.92,47.62,28.48,55.36,86.27,80.54,22.31,70.77,60.55,43.77,34.97,75.81,49.64
Gentium Basic,700,i,61.59,72.9,62.9,91.46,16.13,9.31,78.41,97.7,28.66,55.67,4.5,60.82,26.67,59.56,57.65,79.25,94.47,82.24,91.97,86.27,85.02,91.54,87.23,80.02,64.68,67.31,83.05,78.64,55.79,83.38,55.09,70.17,40.42,100,40.21
GFS Didot,,,10.33,29.06,27.38,56.23,7.06,43.69,86.44,66.93,5.2,14.86,4.24,50.53,12.48,6.04,20.21,95.7,93.84,83.27,97.66,68.4,52.55,9.35,90.39,29.96,17.17,10.4,88.16,92.35,22.8,87.71,49.02,37.35,62.41,58.59,46.98
GFS Neohellenic,,i,74.69,47.87,32.46,60.28,23.61,38.31,93.42,60.59,27.58,26.59,4.35,53.81,30.17,9.72,34.52,64.46,82.37,83.03,97.68,70.46,56.52,91.83,80.59,54.64,45.84,31.52,75.05,80.76,53.47,87.87,34.28,38.32,82.71,39.09,40.89
Goudy Bookletter 1911,,,47.78,23.9,36.85,61.73,1.67,44.14,97.5,74.28,5.03,23.94,5.23,48.77,11.46,13.01,30.79,78.08,92.38,83.9,94.88,69.37,48.53,9.34,81.77,41.25,22.79,31.45,85.94,78.31,27.58,88.26,44.4,30.41,60.97,59.5,43.03
Great Vibes,,,95.05,95.65,59.16,71.06,29.17,16.01,68.1,91.26,48.31,85.95,83.45,100,46.25,74,85.99,43.93,76.03,77.84,95.64,87.92,78.15,91.57,56.81,87,86.61,68.1,8.73,60.98,83.41,93.91,27.89,79.04,81.37,62.56,22.96
Headland One,,,38.32,34.86,58.74,58.45,15.7,39.81,86.18,69.54,16.66,34.51,4.16,41.22,15.46,11.02,37.54,70.12,97.52,77.76,92.72,58.83,47.26,9.34,90.1,53.5,35.68,35.58,85.99,67.18,22.62,65.41,63.1,61.35,45.32,77.31,62.04
Iceland,,,59.39,54.52,34.53,41.22,45.61,61.12,71.76,56.7,29.43,45.09,6,41.65,25.5,16.03,52.64,47.39,82,61.83,89.47,45.9,37.66,9.37,61.6,61.54,55.62,53.98,14.12,80,33.4,81.58,35.87,65.11,71.7,37.18,40.62
IM Fell English,,,38.37,38.36,44.39,64.01,18.93,42.79,76.62,74.77,13.98,34.31,5.11,49.57,11.09,13.24,41.42,77.34,88.59,79.31,94.37,66.48,51.35,8.93,84.62,50.66,36.3,25.69,81.49,84.61,31.94,75.56,55.49,36.14,54.44,56.75,43.86
IM Fell French Canon,,,39.81,31.51,40.53,59.89,15.04,43.61,85.04,71.47,17.26,30.04,4.74,42.33,21.29,6.66,31.79,88.55,89.97,85.22,90.71,75.32,51.7,9.34,85.56,44.96,28.18,20.03,88.02,89.51,17.52,84.51,47.4,42.29,63.38,64.01,50.15
Inconsolata,,,29.07,21.89,23.37,43.16,38.28,79.84,91.73,43.64,7.98,26.05,4.45,39.55,31.49,8.5,20.15,67.1,78.62,64.83,88.13,38.15,28.59,9.34,69.3,20.53,31.07,6.92,10.79,76.36,30.71,85.31,33.74,32.02,74.03,13.69,46.89
Istok Web,700,,0,18.6,59.34,58.07,17.16,47.37,71.85,61.46,10.95,16.39,4.3,31.71,13.96,5.34,28.94,79.86,88.82,76.06,87.86,65.48,43.86,9.32,100,37.24,21.11,30.09,9.51,58.86,12.46,61.6,74.7,29.18,27.31,79.54,53.57
Josefin Sans ,600,i,65.64,38.31,24.33,39.33,20.24,46.92,86.93,65.89,28.87,21.13,4.23,53.17,40.58,15.56,38.22,58.4,84.23,74.77,93.67,44.17,41.39,91.67,62.84,38.54,45.18,21.04,8.38,85.92,39.49,92.98,31.3,24.32,76.2,52.31,38.28
Julee,,,80.55,94.74,52.31,45.36,47.67,27.45,70.16,74.79,70.38,68.36,3.77,50.68,61.48,58.39,74.89,6.09,79.96,72.08,75,55.9,58.74,9.79,60.28,68.93,81.48,51.7,16.46,62.24,74.64,84.99,31.93,75.84,63.03,47.43,35.7
Jura,300,,40.5,36.38,23.22,10.96,46.73,60.72,88.74,52.12,38.9,33.65,4.3,47.28,39.59,11.41,36.12,54.83,70.64,43.87,83.16,43.48,30.05,9.34,66.24,29.29,28.25,30.87,9.32,70.93,31.74,87.19,23.03,58.62,88.81,36.68,43.58
Just Another Hand,,,49.4,63.74,31.68,36.48,89.57,100,65.44,56.93,92.63,71.22,6.57,53.11,77.97,72.72,48.2,22.28,58.73,64.98,69.57,46.37,34.12,9.56,18.53,52.56,70.6,33.17,10.68,11.47,70.85,66.14,27.95,39.59,71.57,36.36,23.58
Kelly Slab,,,80.89,67.17,51.32,48.57,32.72,42.82,66.8,73.63,49.07,67.66,4.3,45.64,35.82,59.4,53.97,55.5,83.4,60.15,86.63,65.62,45.69,9.34,66.88,68.42,63.58,50.04,82.98,93.57,35.73,62.91,50.19,86.05,53.43,54.81,46.63
Kenia,,,59.49,65.73,55.04,57.36,54.36,72.82,54.89,64.18,69.6,75.16,5.15,44.44,71.79,65.14,72.35,33.74,67.8,48.3,58.38,59.58,23.65,9.34,19.65,70.56,56.28,58.31,14.26,35.51,42.07,49.52,61.37,100,27.87,67.26,40.86
Lato,900,i,51.13,44.97,65.34,76.78,29.01,34.06,69.64,75.38,37.69,31.13,4.23,35.38,23.42,5.93,47.71,62.65,89.41,73.16,84.57,70.45,56.32,91.73,93.73,50.28,34.37,50.97,9.63,59.11,45.19,53.69,70.54,50.07,23.27,90.68,55.13
Lato,700,i,42.86,43.8,57.69,74.74,23.43,29.11,76.05,73.59,32.14,29.25,4.23,41.89,24.97,5.93,40.79,72.58,94.03,83.15,91.44,72.55,55.34,91.73,91.64,48.44,31.34,45.99,9.63,76.19,46.04,64.22,63.93,36.53,34.76,91.84,47.25
Lato,,i,43.64,35.86,43.37,66.11,23.87,34.16,86.15,73.18,24.66,19.47,4.23,45.66,25.79,6.24,34.21,73.75,93.91,82.01,91.63,72.63,54.66,91.73,86.72,40.93,30.95,28.59,9.73,80.44,51.45,84.83,53.6,23.18,55.1,74.53,41.7
Lekton,,i,75.55,43.8,19.85,28.54,41.87,59.56,89.07,47.74,41.09,31.93,4.23,50.55,46.34,6.99,33.21,50.48,72.77,62.77,87.13,43.91,31.49,91.67,62.66,44,37.15,17.2,10.07,69.85,70.47,81.56,26.92,41.19,95.69,34.55,42.38
Life Savers,,,50.42,54.34,45.06,53.27,29.84,46.24,81.62,74.79,38.56,50.02,5.21,46.53,43.76,9.31,42.5,47.65,91.68,83.64,88.7,64.03,60.86,9.04,66.59,52.97,55.26,31.08,81.12,69.32,39.7,82.27,40.05,54.48,64.82,64.04,51.72
Lobster,,,70.73,91.23,75.33,90.6,26.12,12.31,62.48,97.04,57.89,95.72,4.38,50.8,41.98,57.49,86.09,54.96,93.39,79.28,84.21,87.99,83.75,91.76,55.5,83.46,74.58,78.75,14.1,55.5,59.58,65.93,64.85,60.3,18.88,84.77,42.55
Lobster Two,,i,85.56,88.91,68.72,87.84,15.23,14.42,66.52,91.04,48.12,83.57,4.23,59.19,50.97,23.35,80.63,54.57,92.13,84.57,84.08,92.1,85.17,91.67,65.99,77.37,82.42,85.34,14.54,69.12,61.92,77.45,52.69,63.45,45.33,74.75,42.26
Lora,700,i,59.18,61.68,70.85,94.48,13.97,11.05,70.08,90.42,28.94,56.94,4.29,49.37,30.66,16.36,74.55,71.57,97.08,83.45,87.76,85.06,83.65,91.65,89.19,85.63,65.59,77.08,87.14,66.41,49.59,67.67,69.42,60.99,33.07,89.38,51.77
Magra,700,,15.69,23.91,58.16,59.01,28.48,42.59,70.74,59.36,29.07,23.36,4.3,28.67,14.69,12.79,42,71.39,86.56,65.54,82.88,61.27,45.79,9.31,83.5,34.85,25.26,48.16,9.33,46.93,8.22,55.91,77.81,29.81,19.34,80.41,48.43
Marck Script,,,90.55,81.91,61.54,81.97,31.45,6.69,74.82,90.48,57.68,70.2,81.53,64.36,55.6,69.53,81.62,52.48,81.08,85.75,83.16,79,94.51,91.67,53.23,81.48,85.79,67.23,9.9,58.51,81.07,96.71,31.52,49.32,75.84,72.32,34.41
Marvel,700,,39.68,22.1,28.74,44.58,33.11,76.16,91.42,51.94,16.6,21.98,4.3,45.85,20.26,10.16,11.4,67.88,87.18,77.56,88.46,40.6,38.29,9.34,66.4,39.27,24.78,16.79,9.51,73.02,19.01,89.55,39,15.06,77.12,38,0
Marvel,700,i,65.26,38.1,30.1,40.21,33.58,63.01,87.2,57.05,22.18,36.64,4.23,43.38,31.4,16.24,35.75,65.24,80.19,72.44,88.31,47.39,43.45,91.73,75.22,44.66,41.3,17.28,10.08,76.77,55.47,87.47,37.6,19.9,69.57,41.04,31.98
Maven Pro,900,,24.7,28.58,65.92,61.96,31.79,61.75,66.91,56.05,32.71,41.72,4.3,26.99,27.2,7.2,43.95,60.6,80.03,65.83,83.92,55.41,45.9,9.34,74.8,45.75,25.68,55.19,10.04,57.25,28.2,56.67,76.45,33.86,30.27,63.2,58.13
Megrim,,,74.76,64.16,31.75,11.87,95.7,78.26,71.55,44.11,62.5,65.84,4.3,50.37,70.49,66.02,63.57,34.01,74.77,36.13,69.32,6.54,32.47,9.34,1.65,88.4,64.99,31.65,12.24,44.81,46.49,75.8,4,64.72,99.69,34.5,50.67
Merriweather,,,36.64,22.82,45.91,61.84,12.69,40.36,83.08,67.66,10.79,31,4.24,38.33,13.51,6.04,28.02,91.37,91.57,76.52,95.89,66.57,52.24,9.35,92.51,39.24,21.03,39.61,87.12,79.26,15.72,74.89,64.15,48.38,50.81,56.97,57.75
Merriweather,700,,38.06,31.97,57.96,72.52,17.28,35.26,66.08,69.42,19.25,40.9,4.24,27.58,15.84,6.44,42.42,78.38,89.22,69.12,91.02,70.24,41.24,9.34,96.16,46.06,35.22,53.71,88.02,71.92,19.89,54.71,73.45,54.39,32.12,81.57,62.96
Milonga,,,32.41,64.18,57.38,73.51,14.59,30.42,80.61,80.3,13.06,49.63,4.74,52.57,33,6.64,57.94,67.92,94.4,85.8,93.76,81.23,68.77,9.37,92.41,61.53,52.1,48.57,81.83,72.79,61.74,80.62,53.53,64.64,55.96,70.3,53.13
Modern Antiqua,,,39.37,41.71,47.26,63.32,20.06,38.43,76.61,77.32,37.31,46.47,4.36,41.77,39.44,11.96,62.36,68.34,92.55,66.25,92.43,71.37,60.24,9.43,83.38,56.79,44.72,58.8,86.07,72.14,40.22,75.29,55.43,49.74,52.29,71.61,54.09
Montez,,,65.72,87.9,47.76,67.24,49.39,31.45,73.14,90.27,66.21,87.03,78.94,69.08,66.59,20.11,68.06,34.57,65.1,69.93,86.89,67.92,66.56,9.9,22.86,81.23,66.11,53.07,11.51,60.67,60.18,100,10.32,65.09,79.23,39.6,28.62
Muli,,,27.41,10.61,23.43,43.18,20.83,59.61,89.92,52.18,7.98,1.65,4.3,39.73,16.37,6.93,10.45,82.64,91.17,78.71,90.6,55.9,36.96,9.35,89.51,21.97,12.11,16.44,9.23,79.75,13.47,86.11,52.4,1.43,57.19,51.7,49.84
Muli,300,,35.11,9.76,19.68,28.4,17.29,72.03,92.81,53.96,12,3.88,4.3,42.34,16.64,8.04,18.33,80.8,89.46,74.55,89.56,44.85,23.25,9.34,77.79,18.04,7.97,10.62,9.7,76.19,16.95,92.47,30.49,0,69.5,33.36,49.94
Nanum Gothic Coding,700,,20.92,38.91,45.75,51.22,32.44,71.55,73.29,61.44,46.83,38.89,4.45,36.04,40.3,9.43,42.87,61.49,86.33,66.02,74.51,56.92,40.69,9.34,67.82,39.7,43.79,43.84,10.2,46.92,23.43,62.05,60.88,42.29,30.72,70.56,47.06
Neuton,300,,24.69,26.99,24.15,38.78,8.96,57.61,91.75,58.38,5.3,23.56,4.24,50.05,9.68,5.01,18.07,87.95,87.67,76.73,96.99,58.26,41.48,9.35,83.7,33.06,21.7,22.92,87.8,84.29,22.42,91.71,39.92,25.99,72.78,43.61,42.72
